Country,Year,Household_Size,Real_GDP_Per_Capita,Train_Transport_Pct,Bus_Transport_Pct,Urban_Population_Pct,All_Transport_Pct,Fuel_Price_Index,Car_Stock,Population,EPS_Index,Surface_Area_km2,Railway_1890,Railway_1895,Railway_1900,Railway_1905,Railway_1910,Size_Dummy
France,2006,2.3,34360.0,9.4,5.3,77.377,14.7,118.10305555555556,30400000.0,63229635,3.0833333,551500.0,33280.0,36240.0,38109.0,39607.0,40484.0,1
France,2007,2.3,35010.0,9.6,5.5,77.621,15.1,119.95527777777778,30700000.0,63645065,3.25,551500.0,33280.0,36240.0,38109.0,39607.0,40484.0,1
France,2008,2.3,34960.0,10.1,5.7,77.868,15.8,137.8725,31047000.0,64007193,3.4166667,551500.0,33280.0,36240.0,38109.0,39607.0,40484.0,1
France,2009,2.2,33800.0,9.4,5.2,78.117,14.6,111.35,31394000.0,64350226,3.6944444,551500.0,33280.0,36240.0,38109.0,39607.0,40484.0,1
France,2010,2.2,34310.0,9.7,5.2,78.369,14.9,127.8463888888889,31657000.0,64658856,3.6111112,551500.0,33280.0,36240.0,38109.0,39607.0,40484.0,1
France,2011,2.2,34990.0,10.0,5.3,78.622,15.3,147.60666666666668,35252631.0,64978721,3.9444444,551500.0,33280.0,36240.0,38109.0,39607.0,40484.0,1
France,2012,2.2,34880.0,9.5,5.4,78.878,14.9,155.96166666666667,35531728.0,65276983,3.9166667,551500.0,33280.0,36240.0,38109.0,39607.0,40484.0,1
France,2013,2.2,34990.0,10.1,5.5,79.135,15.6,152.15194444444444,36149230.0,65600350,3.9166667,551500.0,33280.0,36240.0,38109.0,39607.0,40484.0,1
France,2014,2.2,35150.0,9.9,5.6,79.394,15.4,145.55472222222224,36647883.0,66165980,4.2222223,551500.0,33280.0,36240.0,38109.0,39607.0,40484.0,1
France,2015,2.2,35370.0,9.9,5.6,79.655,15.5,129.83583333333334,37180101.0,66458153,4.0277777,551500.0,33280.0,36240.0,38109.0,39607.0,40484.0,1
France,2016,2.2,35540.0,9.8,5.6,79.917,15.4,122.90055555555556,37673476.0,66638391,3.9166667,551500.0,33280.0,36240.0,38109.0,39607.0,40484.0,1
France,2017,2.2,36140.0,9.8,5.6,80.18,15.4,135.7147222222222,38117663.0,66809816,4.1666665,551500.0,33280.0,36240.0,38109.0,39607.0,40484.0,1
France,2018,2.2,36570.0,9.5,5.7,80.444,15.2,156.00972222222222,38229305.0,67026224,4.5555553,551500.0,33280.0,36240.0,38109.0,39607.0,40484.0,1
France,2019,2.1,37160.0,9.9,5.7,80.709,15.6,156.65277777777777,38423556.0,67290471,4.7222223,551500.0,33280.0,36240.0,38109.0,39607.0,40484.0,1
France,2020,2.2,34280.0,7.3,4.9,80.975,12.2,137.19972222222222,38470122.0,67473651,4.8888888,551500.0,33280.0,36240.0,38109.0,39607.0,40484.0,1
France,2021,2.2,36470.0,8.6,4.8,81.242,13.4,156.33277777777778,38818914.0,67728568,4.8888888,551500.0,33280.0,36240.0,38109.0,39607.0,40484.0,1
France,2022,2.2,37320.0,10.5,5.0,81.509,15.5,202.85194444444446,38973339.0,68091703,4.8888888,551500.0,33280.0,36240.0,38109.0,39607.0,40484.0,1
France,2023,2.2,37760.0,11.1,5.2,81.777,16.3,198.705,39358421.0,68277210,4.8888888,551500.0,33280.0,36240.0,38109.0,39607.0,40484.0,1
France,2024,2.1,38110.0,11.1,5.2,82.044,16.3,188.77,39738933.0,68467362,4.8888888,551500.0,33280.0,36240.0,38109.0,39607.0,40484.0,1
Hungary,2003,2.5,10050.0,13.4,24.6,65.489,38.0,73.96083333333333,2777000.0,10142362,2.3611112,93025.0,,,,,,1
Hungary,2004,2.5,10570.0,13.5,22.7,65.896,36.2,77.89541666666666,2828000.0,10116742,2.2222223,93025.0,,,,,,1
Hungary,2005,2.5,11050.0,12.6,23.4,66.365,36.0,85.38625,2889000.0,10097549,2.8333333,93025.0,,,,,,1
Hungary,2006,2.6,11500.0,12.0,22.1,66.895,34.1,91.11125,3214000.0,10076581,2.9722223,93025.0,,,,,,1
Hungary,2007,2.6,11550.0,11.0,21.1,67.421,32.1,89.99374999999999,3262000.0,10066158,2.7777777,93025.0,,,,,,1
Hungary,2008,2.6,11690.0,10.1,24.2,67.943,34.3,99.18416666666667,3055000.0,10045401,3.0555556,93025.0,,,,,,1
Hungary,2009,2.6,10920.0,10.2,20.7,68.46,30.9,91.70625,3013720.0,10030975,3.6388888,93025.0,,,,,,1
Hungary,2010,2.6,11060.0,10.0,21.5,68.911,31.5,110.49083333333334,2984060.0,10014324,3.5277777,93025.0,,,,,,1
Hungary,2011,2.4,11300.0,10.2,21.5,69.358,31.7,127.38041666666668,2967810.0,9985722,3.6666667,93025.0,,,,,,1
Hungary,2012,2.4,11220.0,10.1,22.3,69.678,32.4,143.40958333333333,2986030.0,9931925,3.5555556,93025.0,,,,,,1
Hungary,2013,2.4,11490.0,10.3,21.4,69.953,31.7,140.5575,3040732.0,9895250,2.8888888,93025.0,,,,,,1
Hungary,2014,2.4,12040.0,10.0,21.3,70.227,31.4,137.45458333333332,3107695.0,9850217,2.8888888,93025.0,,,,,,1
Hungary,2015,2.3,12530.0,9.7,20.9,70.5,30.5,120.64833333333333,3196856.0,9815858,2.9722223,93025.0,,,,,,1
Hungary,2016,2.3,12880.0,9.2,21.5,70.779,30.8,111.89791666666667,3313206.0,9779652,2.6944444,93025.0,,,,,,1
Hungary,2017,2.3,13460.0,8.9,21.1,71.062,30.0,119.72291666666666,3471997.0,9739857,3.1111112,93025.0,,,,,,1
Hungary,2018,2.3,14240.0,8.7,19.3,71.351,28.1,129.14958333333334,3641823.0,9713655,2.6944444,93025.0,,,,,,1
